Time	Temp	Pres	iC5H11ONO	NO	H2CO	iC4H9	CH3	C3H6	iC4H8	H	DMH25	iC4H10	H2	iC5H12	CH4	C2H6	Kr
	0.00	706.4	130.5	5.9235E-08	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.9025E-06
	0.16	706.2	130.5	5.9173E-08	9.1523E-11	9.1523E-11	9.0948E-11	5.5896E-13	5.5914E-13	1.2757E-14	1.2597E-14	1.3383E-15	1.5697E-16	1.3434E-19	1.7786E-16	2.7213E-18	1.8684E-18	2.9040E-06
	0.33	706.0	130.5	5.9109E-08	1.8237E-10	1.8237E-10	1.8008E-10	2.2110E-12	2.2139E-12	5.1057E-14	4.9615E-14	1.0419E-14	1.3954E-15	2.0528E-18	2.7263E-15	4.1714E-17	5.6359E-17	2.9053E-06
	0.49	705.8	130.6	5.9044E-08	2.7254E-10	2.7254E-10	2.6741E-10	4.9158E-12	4.9303E-12	1.1496E-13	1.0953E-13	3.4615E-14	5.2049E-15	1.0124E-17	1.3512E-14	2.0674E-16	4.1517E-16	2.9065E-06
	0.66	705.6	130.6	5.8981E-08	3.6206E-10	3.6206E-10	3.5296E-10	8.6295E-12	8.6754E-12	2.0457E-13	1.9042E-13	8.0843E-14	1.3455E-14	3.1188E-17	4.1903E-14	6.4119E-16	1.7095E-15	2.9078E-06
	0.82	705.3	130.6	5.8919E-08	4.5092E-10	4.5092E-10	4.3674E-10	1.3305E-11	1.3417E-11	3.2001E-13	2.9000E-13	1.5559E-13	2.8324E-14	7.4133E-17	1.0044E-13	1.5370E-15	5.1046E-15	2.9091E-06
	0.99	705.1	130.6	5.8857E-08	5.3913E-10	5.3913E-10	5.1876E-10	1.8890E-11	1.9123E-11	4.6139E-13	4.0575E-13	2.6494E-13	5.2216E-14	1.4939E-16	2.0443E-13	3.1285E-15	1.2419E-14	2.9104E-06
	1.15	704.9	130.6	5.8793E-08	6.2668E-10	6.2668E-10	5.9900E-10	2.5331E-11	2.5760E-11	6.2886E-13	5.3497E-13	4.1454E-13	8.7667E-14	2.6842E-16	3.7155E-13	5.6862E-15	2.6222E-14	2.9116E-06
	1.31	704.7	130.7	5.8724E-08	7.1351E-10	7.1351E-10	6.7741E-10	3.2566E-11	3.3297E-11	8.2247E-13	6.7481E-13	6.0961E-13	1.3726E-13	4.4319E-16	6.2145E-13	9.5110E-15	4.9891E-14	2.9124E-06
	1.48	704.5	130.7	5.8672E-08	7.9993E-10	7.9993E-10	7.5428E-10	4.0549E-11	4.1716E-11	1.0427E-12	8.2278E-13	8.5530E-13	2.0364E-13	6.8606E-16	9.7577E-13	1.4934E-14	8.7668E-14	2.9141E-06
	1.64	704.3	130.7	5.8603E-08	8.8551E-10	8.8551E-10	8.2919E-10	4.9197E-11	5.0965E-11	1.2892E-12	9.7574E-13	1.1557E-12	2.8917E-13	1.0084E-15	1.4566E-12	2.2294E-14	1.4458E-13	2.9150E-06
	1.81	704.1	130.7	5.8535E-08	9.7045E-10	9.7045E-10	9.0235E-10	5.8454E-11	6.1026E-11	1.5623E-12	1.1313E-12	1.5151E-12	3.9621E-13	1.4215E-15	2.0875E-12	3.1952E-14	2.2651E-13	2.9158E-06
	1.97	703.9	130.8	5.8479E-08	1.0550E-09	1.0550E-09	9.7393E-10	6.8266E-11	7.1883E-11	1.8625E-12	1.2874E-12	1.9376E-12	5.2695E-13	1.9356E-15	2.8930E-12	4.4283E-14	3.4014E-13	2.9171E-06
	2.13	703.7	130.8	5.8422E-08	1.1389E-09	1.1389E-09	1.0438E-09	7.8558E-11	8.3499E-11	2.1896E-12	1.4416E-12	2.4265E-12	6.8320E-13	2.5594E-15	3.8968E-12	5.9651E-14	4.9274E-13	2.9185E-06
	2.30	703.5	130.8	5.8366E-08	1.2223E-09	1.2223E-09	1.1119E-09	8.9261E-11	9.5847E-11	2.5436E-12	1.5920E-12	2.9847E-12	8.6654E-13	3.3002E-15	5.1230E-12	7.8423E-14	6.9219E-13	2.9198E-06
	2.46	703.3	130.8	5.8310E-08	1.3051E-09	1.3051E-09	1.1783E-09	1.0031E-10	1.0890E-10	2.9247E-12	1.7371E-12	3.6152E-12	1.0782E-12	4.1641E-15	6.5949E-12	1.0096E-13	9.4679E-13	2.9211E-06
	2.62	703.1	130.8	5.8254E-08	1.3873E-09	1.3873E-09	1.2431E-09	1.1164E-10	1.2263E-10	3.3327E-12	1.8755E-12	4.3203E-12	1.3193E-12	5.1551E-15	8.3351E-12	1.2760E-13	1.2652E-12	2.9224E-06
	2.79	702.9	130.9	5.8198E-08	1.4690E-09	1.4690E-09	1.3061E-09	1.2318E-10	1.3701E-10	3.7678E-12	2.0061E-12	5.1021E-12	1.5904E-12	6.2761E-15	1.0365E-11	1.5869E-13	1.6561E-12	2.9237E-06
	2.95	702.7	130.9	5.8093E-08	1.5488E-09	1.5488E-09	1.3662E-09	1.3476E-10	1.5190E-10	4.2262E-12	2.1265E-12	5.9574E-12	1.8903E-12	7.5220E-15	1.2695E-11	1.9437E-13	2.1267E-12	2.9225E-06
	3.11	702.5	130.9	5.8062E-08	1.6301E-09	1.6301E-09	1.4264E-09	1.4659E-10	1.6757E-10	4.7166E-12	2.2404E-12	6.9000E-12	2.2231E-12	8.9080E-15	1.5369E-11	2.3531E-13	2.6897E-12	2.9249E-06
	3.28	702.3	130.9	5.8007E-08	1.7101E-09	1.7101E-09	1.4843E-09	1.5840E-10	1.8376E-10	5.2318E-12	2.3441E-12	7.9213E-12	2.5854E-12	1.0421E-14	1.8383E-11	2.8147E-13	3.3503E-12	2.9261E-06
	3.44	702.2	130.9	5.7951E-08	1.7897E-09	1.7897E-09	1.5406E-09	1.7018E-10	2.0051E-10	5.7735E-12	2.4383E-12	9.0249E-12	2.9779E-12	1.2060E-14	2.1759E-11	3.3317E-13	4.1174E-12	2.9273E-06
	3.60	702.0	131.0	5.7896E-08	1.8687E-09	1.8687E-09	1.5953E-09	1.8190E-10	2.1779E-10	6.3415E-12	2.5232E-12	1.0212E-11	3.4000E-12	1.3824E-14	2.5509E-11	3.9061E-13	4.9984E-12	2.9285E-06
	3.77	701.8	131.0	5.7840E-08	1.9473E-09	1.9473E-09	1.6483E-09	1.9349E-10	2.3559E-10	6.9354E-12	2.5989E-12	1.1482E-11	3.8510E-12	1.5707E-14	2.9646E-11	4.5398E-13	6.0002E-12	2.9296E-06
	3.93	701.6	131.0	5.7742E-08	2.0239E-09	2.0239E-09	1.6985E-09	2.0476E-10	2.5369E-10	7.5494E-12	2.6640E-12	1.2826E-11	4.3270E-12	1.7693E-14	3.4154E-11	5.2303E-13	7.1238E-12	2.9285E-06
	4.09	701.5	131.0	5.7707E-08	2.1022E-09	2.1022E-09	1.7490E-09	2.1606E-10	2.7253E-10	8.1968E-12	2.7236E-12	1.4268E-11	4.8348E-12	1.9806E-14	3.9101E-11	5.9880E-13	8.3872E-12	2.9307E-06
	4.26	701.3	131.0	5.7652E-08	2.1793E-09	2.1793E-09	1.7973E-09	2.2704E-10	2.9173E-10	8.8663E-12	2.7744E-12	1.5789E-11	5.3672E-12	2.2017E-14	4.4445E-11	6.8066E-13	9.7850E-12	2.9317E-06
	4.42	701.1	131.0	5.7596E-08	2.2559E-09	2.2559E-09	1.8441E-09	2.3775E-10	3.1137E-10	9.5604E-12	2.8180E-12	1.7393E-11	5.9249E-12	2.4327E-14	5.0202E-11	7.6886E-13	1.1323E-11	2.9328E-06
	4.58	701.0	131.1	5.7540E-08	2.3321E-09	2.3321E-09	1.8894E-09	2.4817E-10	3.3141E-10	1.0279E-11	2.8549E-12	1.9080E-11	6.5068E-12	2.6729E-14	5.6374E-11	8.6341E-13	1.3006E-11	2.9338E-06
	4.74	700.8	131.1	5.7484E-08	2.4078E-09	2.4078E-09	1.9332E-09	2.5826E-10	3.5186E-10	1.1020E-11	2.8857E-12	2.0849E-11	7.1118E-12	2.9218E-14	6.2961E-11	9.6432E-13	1.4833E-11	2.9347E-06
	4.91	700.7	131.1	5.7393E-08	2.4816E-09	2.4816E-09	1.9744E-09	2.6786E-10	3.7245E-10	1.1778E-11	2.9093E-12	2.2685E-11	7.7342E-12	3.1768E-14	6.9919E-11	1.0709E-12	1.6797E-11	2.9339E-06
	5.07	700.5	131.1	5.7354E-08	2.5572E-09	2.5572E-09	2.0160E-09	2.7735E-10	3.9373E-10	1.2568E-11	2.9305E-12	2.4623E-11	8.3843E-12	3.4422E-14	7.7350E-11	1.1848E-12	1.8923E-11	2.9357E-06
	5.23	700.4	131.1	5.7298E-08	2.6317E-09	2.6317E-09	2.0556E-09	2.8640E-10	4.1525E-10	1.3378E-11	2.9466E-12	2.6633E-11	9.0523E-12	3.7138E-14	8.5167E-11	1.3045E-12	2.1191E-11	2.9366E-06
	5.39	700.3	131.1	5.7242E-08	2.7058E-09	2.7058E-09	2.0939E-09	2.9508E-10	4.3710E-10	1.4208E-11	2.9588E-12	2.8721E-11	9.7394E-12	3.9918E-14	9.3385E-11	1.4305E-12	2.3604E-11	2.9374E-06
	5.56	700.1	131.1	5.7186E-08	2.7794E-09	2.7794E-09	2.1309E-09	3.0339E-10	4.5927E-10	1.5060E-11	2.9676E-12	3.0887E-11	1.0445E-11	4.2759E-14	1.0200E-10	1.5624E-12	2.6161E-11	2.9383E-06
	5.72	700.0	131.2	5.7138E-08	2.8531E-09	2.8531E-09	2.1669E-09	3.1137E-10	4.8181E-10	1.5935E-11	2.9740E-12	3.3134E-11	1.1169E-11	4.5664E-14	1.1102E-10	1.7006E-12	2.8864E-11	2.9396E-06
